Tiempo,Temperatura (°C),Potencia Luz (%),Velocidad Ventilador (RPM),Potencia Ventilador (%)
0.001,21.97,0,0.0,0
0.002,22.05,0,0.0,0
0.301,22.17,0,0.0,0
0.611,22.18,0,0.0,0
0.922,22.12,0,0.0,0
1.231,22.07,0,0.0,0
1.556,22.1,0,0.0,0
1.868,22.12,0,0.0,0
2.179,22.05,0,0.0,0
2.49,22.1,0,0.0,0
2.798,22.15,0,0.0,0
3.108,22.13,0,0.0,0
3.433,22.15,0,0.0,0
3.743,22.23,0,0.0,0
4.055,22.1,0,0.0,0
4.366,22.17,0,0.0,0
4.676,22.17,0,0.0,0
4.986,22.13,0,0.0,0
5.299,22.13,0,0.0,0
5.615,22.17,0,0.0,0
5.929,22.2,0,0.0,0
6.245,22.03,0,0.0,0
6.557,21.98,0,0.0,0
6.866,21.92,0,0.0,0
7.178,21.87,0,0.0,0
7.489,21.92,0,0.0,0
7.49,22.17,0,0.0,0
7.799,22.17,0,0.0,0
8.11,22.17,0,0.0,0
8.422,22.22,0,0.0,0
8.733,22.0,0,0.0,0
9.044,22.17,0,0.0,0
9.372,22.32,0,0.0,0
9.698,22.27,0,0.0,0
10.01,22.12,0,0.0,0
10.319,22.05,0,0.0,0
10.633,22.03,0,0.0,0
10.945,22.0,0,0.0,0
11.255,22.18,0,0.0,0
11.566,22.13,0,0.0,0
11.875,22.07,0,0.0,0
12.185,22.03,0,0.0,0
12.509,21.98,0,0.0,0
12.818,22.07,0,0.0,0
13.128,22.12,0,0.0,0
13.439,22.12,0,0.0,0
13.749,22.12,0,0.0,0
14.06,22.02,0,0.0,0
14.372,21.88,0,0.0,0
14.684,21.85,0,0.0,0
15.012,21.88,0,0.0,0
15.012,21.92,0,0.0,0
15.324,22.03,0,0.0,0
15.634,22.07,0,0.0,0
15.945,22.0,0,0.0,0
16.256,21.92,0,0.0,0
16.565,21.83,0,0.0,0
16.875,21.85,0,0.0,0
17.186,21.98,0,0.0,0
17.51,21.88,0,0.0,0
17.819,21.92,0,0.0,0
18.128,21.82,0,0.0,0
18.439,21.82,0,0.0,0
18.749,21.9,0,0.0,0
19.074,21.87,0,0.0,0
19.387,21.82,0,0.0,0
19.698,21.77,0,0.0,0
20.008,21.9,0,0.0,0
20.319,21.95,0,0.0,0
20.633,22.08,0,0.0,0
20.944,22.22,0,0.0,0
21.255,22.2,0,0.0,0
21.565,22.08,0,0.0,0
21.877,22.0,0,0.0,0
22.189,21.88,0,0.0,0
22.19,21.95,0,0.0,0
22.512,21.92,0,0.0,0
22.821,21.93,0,0.0,0
23.133,21.95,0,0.0,0
23.444,21.9,0,0.0,0
23.752,21.68,0,0.0,0
24.062,21.6,0,0.0,0
24.373,21.77,0,0.0,0
24.696,21.88,0,0.0,0
25.009,22.05,0,0.0,0
25.322,22.2,0,0.0,0
25.634,22.12,0,0.0,0
25.944,22.23,0,0.0,0
26.254,22.3,0,0.0,0
26.564,22.32,0,0.0,0
26.876,22.25,0,0.0,0
27.188,22.27,0,0.0,0
27.498,22.05,0,0.0,0
27.824,21.9,0,0.0,0
28.138,21.88,0,0.0,0
28.451,21.85,0,0.0,0
28.775,21.82,0,0.0,0
29.089,21.87,0,0.0,0
29.089,22.03,0,0.0,0
29.4,21.98,0,0.0,0
29.711,22.02,0,0.0,0
30.021,22.05,0,0.0,0
30.331,22.02,0,0.0,0
30.643,22.03,0,0.0,0
30.954,21.95,0,0.0,0
31.264,21.88,0,0.0,0
31.575,21.8,0,0.0,0
31.901,21.68,0,0.0,0
32.215,21.73,0,0.0,0
32.527,21.8,0,0.0,0
32.838,21.83,0,0.0,0
33.148,21.87,0,0.0,0
33.46,21.77,0,0.0,0
33.77,21.67,0,0.0,0
34.083,21.8,0,0.0,0
34.396,21.92,0,0.0,0
34.707,22.07,0,0.0,0
35.019,22.27,0,0.0,0
35.332,22.1,0,0.0,0
35.641,22.08,0,0.0,0
35.954,22.08,0,0.0,0
36.265,21.72,0,0.0,0
36.578,21.43,0,0.0,0
36.893,21.3,0,0.0,0
36.894,21.28,0,0.0,0
37.209,21.52,0,0.0,0
37.524,21.57,0,0.0,0
37.837,21.75,0,0.0,0
38.151,21.67,0,0.0,0
38.463,21.65,0,0.0,0
38.774,21.72,0,0.0,0
39.084,21.65,0,0.0,0
39.393,21.82,0,0.0,0
39.703,21.85,0,0.0,0
40.015,21.8,0,0.0,0
40.326,21.85,0,0.0,0
40.651,21.78,0,0.0,0
40.962,21.68,0,0.0,0
41.274,21.75,0,0.0,0
41.587,21.7,0,0.0,0
41.897,21.87,0,0.0,0
42.206,21.83,0,0.0,0
42.517,21.92,0,0.0,0
42.828,21.95,0,0.0,0
43.14,21.8,0,0.0,0
43.452,21.8,0,0.0,0
43.766,21.75,0,0.0,0
44.077,21.48,0,0.0,0
44.402,21.65,0,0.0,0
44.403,21.45,0,0.0,0
44.713,21.55,0,0.0,0
45.024,21.5,0,0.0,0
45.337,21.42,0,0.0,0
45.648,21.58,0,0.0,0
45.959,21.52,0,0.0,0
46.269,21.58,0,0.0,0
46.581,21.62,0,0.0,0
46.892,21.63,0,0.0,0
47.205,21.68,0,0.0,0
47.516,21.8,0,0.0,0
47.827,21.77,0,0.0,0
48.14,21.75,0,0.0,0
48.463,21.7,0,0.0,0
48.773,21.7,0,0.0,0
49.085,21.63,0,0.0,0
49.396,21.72,0,0.0,0
49.706,21.7,0,0.0,0
50.019,21.58,0,0.0,0
50.33,21.73,0,0.0,0
